Bytes,Time,RSSI,SNR
0,103122,-114,-19.750000
0,103322,-119,-22.750000
18,103522,-120,-18.250000
0,103922,-120,-22.250000
18,104122,-117,-16.750000
18,104322,-116,-20.000000
18,104522,-117,-10.750000
18,104722,-116,-19.250000
18,105122,-117,-11.250000
0,105322,-116,-15.000000
18,105522,-114,-14.750000
18,105722,-115,-12.250000
18,105922,-116,-19.750000
18,106122,-117,-14.000000
18,106322,-118,-14.500000
18,106522,-115,-13.500000
18,106722,-114,-11.250000
18,106922,-117,-14.250000
18,107122,-114,-9.000000
18,107322,-117,-9.250000
18,107522,-116,-10.500000
18,107722,-117,-15.000000
0,107922,-119,-19.750000
18,108122,-115,-9.000000
18,108322,-116,-3.500000
18,108522,-114,-9.000000
18,108722,-114,-0.500000
18,108922,-113,-4.250000
18,109122,-114,-5.000000
18,109322,-113,-0.250000
18,109522,-115,-9.750000
18,109722,-112,-4.750000
18,109922,-112,-2.000000
18,110122,-113,-2.250000
18,110322,-115,2.500000
18,110522,-112,-5.000000
18,110722,-113,-1.250000
18,110922,-116,-2.500000
18,111122,-110,0.250000
18,111322,-111,1.750000
18,111522,-111,3.000000
18,111722,-110,6.000000
18,111922,-113,3.500000
18,112122,-109,5.750000
18,112322,-106,7.500000
18,112522,-108,5.750000
18,112722,-113,2.750000
18,112922,-113,2.000000
18,113122,-108,7.750000
18,113322,-103,6.250000
18,113522,-101,7.750000
18,113722,-102,6.500000
18,113922,-105,4.250000
18,114122,-97,9.500000
18,114322,-100,6.250000
18,114522,-96,8.500000
18,114722,-102,5.750000
18,114922,-101,5.500000
18,115122,-94,6.000000
18,115322,-93,8.250000
18,115522,-77,9.000000
18,115722,-79,12.250000
18,115922,-83,10.250000
