Bytes,Time,RSSI,SNR
16,2122,-106,-10.250000
16,2322,-107,-6.750000
16,2522,-108,-2.500000
16,2722,-111,0.000000
16,2922,-111,0.500000
16,3122,-109,-1.000000
16,3322,-106,-3.000000
16,3522,-106,-2.500000
16,3722,-106,-0.750000
16,3922,-109,-3.250000
16,4122,-108,0.000000
16,4322,-108,-4.000000
16,4522,-106,-6.250000
16,4722,-107,-2.750000
16,4922,-105,-6.250000
16,5122,-105,-5.750000
16,5322,-105,-7.750000
16,5522,-107,-6.750000
16,5722,-106,-10.250000
16,5922,-105,-9.750000
16,6122,-105,-6.250000
16,6322,-104,-10.500000
16,6522,-105,-7.250000
16,6722,-104,-8.250000
16,6922,-105,-8.750000
16,7122,-108,-4.500000
16,7322,-105,-12.250000
16,7522,-106,-13.000000
16,7722,-106,-9.250000
16,7922,-107,-8.000000
16,8122,-105,-8.250000
16,8322,-104,-9.250000
16,8522,-103,-9.250000
16,8722,-104,-12.250000
16,8922,-104,-11.500000
16,9122,-106,-7.750000
16,9322,-111,-7.250000
16,9522,-113,-3.750000
16,9722,-115,-7.500000
16,9922,-115,-2.750000
17,10122,-116,-7.250000
17,10322,-118,-8.000000
17,10522,-117,-6.750000
17,10722,-117,-12.000000
17,10922,-117,-11.750000
17,11122,-117,-8.750000
17,11322,-118,-8.250000
17,11522,-117,-6.500000
17,11722,-115,-4.250000
17,11922,-112,-12.750000
17,12122,-105,-11.000000
17,12322,-98,-13.250000
17,12522,-95,-18.500000
17,12722,-94,-16.500000
17,12922,-96,-16.250000
17,13122,-93,-19.250000
17,13322,-93,-19.750000
17,13522,-93,-22.250000
17,13722,-95,-19.000000
17,13922,-95,-16.750000
17,14122,-93,-18.250000
17,14322,-94,-17.250000
17,14522,-94,-18.500000
17,14722,-92,-17.500000
17,14922,-93,-22.000000
17,15122,-107,-4.250000
17,15322,-106,-8.750000
17,15522,-103,-7.250000
17,15722,-115,-6.500000
17,15922,-103,-20.750000
17,16122,-112,-5.750000
17,16322,-112,-5.750000
0,0,-114,-9.250000
17,16722,-110,-6.750000
17,16922,-114,-6.750000
17,17122,-112,-3.500000
17,17322,-110,-1.750000
