Bytes,Time,RSSI,SNR
13,4,-114,-7.500000
15,322,-117,-8.000000
15,522,-116,-13.750000
15,722,-115,-14.250000
15,922,-117,-7.000000
16,1122,-118,-16.250000
16,1322,-117,-9.750000
16,1522,-115,-7.750000
16,1722,-114,-5.250000
16,1922,-111,0.250000
16,2122,-114,-2.750000
0,2322,-116,-14.750000
16,2522,-114,-3.000000
16,2722,-116,-15.750000
16,2922,-115,-8.000000
16,3122,-114,-1.750000
16,3322,-112,-2.750000
16,3522,-112,-2.250000
16,3722,-111,-6.750000
16,3922,-111,-3.250000
16,4122,-115,-19.750000
16,4322,-115,-5.250000
16,4522,-116,-5.500000
16,4722,-114,-6.500000
16,4922,-114,-5.250000
16,5122,-112,-1.250000
16,5322,-111,-0.500000
16,5522,-114,-3.250000
16,5722,-115,-10.000000
16,5922,-115,-15.000000
16,6322,-117,-8.500000
16,6522,-114,-18.000000
0,6722,-114,-21.250000
16,6922,-112,-10.000000
16,7122,-115,-7.000000
16,7322,-115,-5.750000
16,7522,-113,-5.500000
16,7722,-110,-14.750000
16,7922,-115,-14.000000
16,8122,-115,-9.250000
16,8322,-113,-9.750000
16,8522,-114,-11.500000
16,8722,-116,-18.500000
16,8922,-112,-17.750000
16,9122,-112,-19.000000
16,9322,-112,-13.500000
16,9522,-114,-10.000000
16,9722,-114,-13.000000
16,9922,-114,-15.250000
17,10122,-115,-10.750000
17,10322,-112,-13.500000
17,10522,-110,-20.250000
17,10722,-109,-18.250000
17,11122,-110,-16.750000
17,11322,-112,-14.500000
17,11522,-111,-19.500000
17,12122,-108,-22.500000
17,12522,-107,-20.750000
17,12722,-107,-17.750000
17,12922,-108,-15.500000
17,13122,-107,-16.750000
17,13322,-107,-15.000000
17,13522,-107,-19.250000
