I (118726) lora receiver: 17 bytes packet received: [Hello World 10922], RSSI: -117, SNR: -5.000000, CR:3
I (120726) lora receiver: 17 bytes packet received: [Hello World 11122], RSSI: -114, SNR: -4.750000, CR:3
I (122726) lora receiver: 17 bytes packet received: [Hello World 11322], RSSI: -116, SNR: -5.750000, CR:3
I (124726) lora receiver: 17 bytes packet received: [Hello World 11522], RSSI: -117, SNR: -6.000000, CR:3
I (126726) lora receiver: 17 bytes packet received: [Hello World 11722], RSSI: -116, SNR: -10.250000, CR:3
I (128726) lora receiver: 17 bytes packet received: [Hello World 11922], RSSI: -117, SNR: -12.750000, CR:3
I (130726) lora receiver: 17 bytes packet received: [Hello World 12122], RSSI: -115, SNR: -9.500000, CR:3
I (132726) lora receiver: 17 bytes packet received: [Hello World 12322], RSSI: -117, SNR: -8.000000, CR:3
I (134726) lora receiver: 17 bytes packet received: [Hello World 12522], RSSI: -117, SNR: -12.000000, CR:3
I (136726) lora receiver: 17 bytes packet received: [Hello World 12722], RSSI: -118, SNR: -14.750000, CR:3
I (138726) lora receiver: 17 bytes packet received: [Hello World 12922], RSSI: -118, SNR: -11.750000, CR:3
I (140726) lora receiver: 17 bytes packet received: [Hello World 13122], RSSI: -115, SNR: -12.500000, CR:3
I (142726) lora receiver: 17 bytes packet received: [Hello World 13322], RSSI: -117, SNR: -8.500000, CR:3
I (144726) lora receiver: 17 bytes packet received: [Hello World 13522], RSSI: -118, SNR: -10.250000, CR:3
I (146726) lora receiver: 17 bytes packet received: [Hello World 13722], RSSI: -117, SNR: -10.000000, CR:3
I (148726) lora receiver: 17 bytes packet received: [Hello World 13922], RSSI: -117, SNR: -11.500000, CR:3
I (152726) lora receiver: 17 bytes packet received: [Hello World 14322], RSSI: -118, SNR: -13.250000, CR:3
