I (145706) lora receiver: 17 bytes packet received: [Hello World 10722], RSSI: -117, SNR: -7.750000, CR:3
I (147706) lora receiver: 17 bytes packet received: [Hello World 10922], RSSI: -117, SNR: -6.750000, CR:3
I (149706) lora receiver: 17 bytes packet received: [Hello World 11122], RSSI: -117, SNR: -7.500000, CR:3
I (151706) lora receiver: 17 bytes packet received: [Hello World 11322], RSSI: -117, SNR: -9.500000, CR:3
I (153706) lora receiver: 17 bytes packet received: [Hello World 11522], RSSI: -118, SNR: -4.500000, CR:3
I (155706) lora receiver: 17 bytes packet received: [Hello World 11722], RSSI: -118, SNR: -1.250000, CR:3
I (157706) lora receiver: 17 bytes packet received: [Hello World 11922], RSSI: -117, SNR: -5.750000, CR:3
I (159706) lora receiver: 17 bytes packet received: [Hello World 12122], RSSI: -117, SNR: -2.750000, CR:3
I (161706) lora receiver: 17 bytes packet received: [Hello World 12322], RSSI: -117, SNR: -3.750000, CR:3
I (163706) lora receiver: 17 bytes packet received: [Hello World 12522], RSSI: -117, SNR: -5.250000, CR:3
I (165706) lora receiver: 17 bytes packet received: [Hello World 12722], RSSI: -117, SNR: -5.750000, CR:3
I (167706) lora receiver: 17 bytes packet received: [Hello World 12922], RSSI: -118, SNR: -3.000000, CR:3
I (169706) lora receiver: 17 bytes packet received: [Hello World 13122], RSSI: -116, SNR: -4.500000, CR:3
I (171706) lora receiver: 17 bytes packet received: [Hello World 13322], RSSI: -115, SNR: -3.000000, CR:3
I (173706) lora receiver: 17 bytes packet received: [Hello World 13522], RSSI: -117, SNR: -1.500000, CR:3
I (175706) lora receiver: 17 bytes packet received: [Hello World 13722], RSSI: -116, SNR: -2.250000, CR:3
I (177706) lora receiver: 17 bytes packet received: [Hello World 13922], RSSI: -115, SNR: -2.250000, CR:3
