Bytes,Time,RSSI,SNR
16,1522,-122,-8.000000
16,1722,-119,0.250000
16,1922,-121,-15.500000
16,2122,-121,-7.750000
16,2322,-121,-8.750000
16,2722,-121,-4.500000
16,2922,-120,-2.500000
16,3122,-121,-10.250000
16,3322,-118,0.750000
16,3522,-109,3.000000
16,3722,-102,6.750000
16,3922,-106,7.500000
16,4122,-114,1.000000
16,4322,-123,-9.000000
16,4522,-122,-9.000000
16,4722,-123,-10.500000
0,4922,-123,-10.750000
16,5122,-123,-15.250000
16,5322,-123,-12.500000
16,5522,-123,-12.250000
16,5722,-124,-15.250000
16,5922,-123,-14.750000
16,6122,-123,-11.000000
16,6522,-123,-10.750000
16,6722,-123,-11.500000
16,6922,-123,-13.250000
16,7122,-123,-9.250000
16,7322,-123,-16.500000
16,7522,-122,-9.250000
16,7722,-123,-11.000000
16,7922,-123,-10.750000
16,8122,-122,-7.250000
16,8322,-123,-7.750000
16,8522,-123,-7.000000
16,8722,-123,-9.000000
16,8922,-123,-7.500000
16,9122,-123,-6.750000
16,9322,-122,-5.750000
16,9522,-122,-12.000000
16,9722,-123,-8.250000
16,9922,-123,-11.250000
17,10122,-123,-10.000000
17,10322,-123,-8.750000
17,10522,-123,-13.000000
17,10722,-119,-3.750000
17,10922,-83,11.250000
