Bytes,Time,RSSI,SNR
16,3522,-122,-10.500000
16,3722,-122,-12.750000
16,3922,-115,-13.500000
16,4122,-118,-13.750000
16,4322,-115,-12.500000
16,4522,-121,-15.750000
16,6722,-123,-17.750000
16,7322,-120,-18.750000
16,7522,-121,-19.500000
16,7922,-120,-15.250000
16,8122,-122,-21.250000
16,8522,-121,-18.500000
16,9722,-117,-10.750000
0,9922,-123,-23.000000
0,10122,0,0
0,10322,0,0
0,10522,0,0
0,10722,0,0
0,10922,0,0
0,11122,0,0
0,11322,0,0
0,11522,0,0
0,11722,0,0
0,11922,0,0
0,12122,0,0
0,12322,0,0
0,12522,0,0
0,12722,0,0
0,12922,0,0
0,13122,0,0
0,13322,0,0
0,13522,0,0
17,13722,-121,-10.250000
17,13922,-123,-15.500000
17,14122,-122,-9.000000
0,14322,-116,-10.250000
17,14522,-120,-5.500000
17,14722,-123,-13.750000
17,14922,-122,-8.250000
17,15122,-120,-2.250000
17,15322,-121,-4.000000
17,15522,-122,-4.000000
17,15722,-121,-6.000000
17,15922,-121,-2.500000
